species,elevation,latitude,mean_ls,max_ls,rnot,popbiolambda,Gmeanlambda,eco_region,matdim
Dracocephalum.austriacum,270,49.933333,2,2,1,0.996085,0.9931160484209338,TBM,4
Dracocephalum.austriacum,287,49.933333,2,2,1,1.001825,0.999076607591102,TBM,4
Dracocephalum.austriacum,350,49.933333,2,10,1,1.006385,1.0041498947258725,TBM,4
Dracocephalum.austriacum,595,48.616667,2,3,0,1.081342,1.078763461829178,TBM,4
Dracocephalum.austriacum,340,48.5,2,2,4,1.037129,1.0345868783450498,TBM,4
Dracocephalum.austriacum,730,48.616667,2,3,0,1.065872,1.0633186290055099,TBM,4
Alliaria.petiolata,219,40.683333,2,2,1,0.926002,0.9284145445194744,TBM,3
Alliaria.petiolata,223,40.066667,2,3,1,1.063657,1.062680487160749,TBM,3
Alliaria.petiolata,250,42.883333,2,3,1,0.949737,0.9525181053347327,TBM,3
Cypripedium.calceolus,1477,42.769722,5,31,22,1.047823,1.047837663098008,MED,5
Cypripedium.calceolus,1477,42.769722,5,47,1,0.989973,0.9908803593353077,MED,5
Cypripedium.calceolus,1299,42.659444,5,33,1,1.020196,1.020089480725768,MED,6
Dracocephalum.austriacum,287,49.933333,2,2,1,1.001825,0.9990740878537064,TBM,4
Dracocephalum.austriacum,350,49.933333,2,10,1,1.006385,1.0041493836188222,TBM,4
Dracocephalum.austriacum,595,48.616667,2,3,0,1.081343,1.0787638013456415,TBM,4
Dracocephalum.austriacum,340,48.5,2,2,4,1.03713,1.0345880413250912,TBM,4
Dracocephalum.austriacum,730,48.616667,2,3,0,1.065871,1.0633174087189772,TBM,4
Pyrrocoma.radiata,901,44.4,2,23,1,1.029245,1.0277882438175086,DES,4
Primula.vulgaris,145,51.966667,2,56,0,0.955519,0.9534772710835239,TBM,5
Primula.vulgaris,114,52.149444,2,110,1,0.997255,0.9957403999916667,TBM,5
Primula.vulgaris,187,51.777778,2,81,1,0.993517,0.9922424724340464,TBM,5
Primula.vulgaris,187,51.777778,2,111,4,1.061775,1.0604700702419152,TBM,5
Primula.vulgaris,900,43.283333,2,16,1,0.989537,0.9878054164292711,TBM,4
Primula.vulgaris,900,43.283333,2,11,1,1.069214,1.0679660435921818,TBM,4
Primula.vulgaris,900,43.283333,2,2,0,0.71803,1,TBM,4
Primula.vulgaris,900,43.283333,2,12,1,0.951172,0.9462371613657931,TBM,4
Primula.vulgaris,900,43.283333,2,2,0,0.800053,1,TBM,4
Primula.vulgaris,900,43.283333,2,19,1,0.96665,0.9608574450193224,TBM,4
Primula.vulgaris,900,43.283333,2,18,1,1.025625,1.0243513016601882,TBM,4
Pyrrocoma.radiata,829,44.475833,3,21,2,1.088885,1.0881743477308647,DES,4
Silene.acaulis,1230,61.55,2,531,2,1.00026,0.997748742959981,BOR,12
Silene.acaulis,1160,61.483333,2,381,1,1.000033,0.9964308339010061,BOR,12
Silene.acaulis,1430,61.55,2,353,0,1.01493,1.011166537728386,BOR,12
Silene.acaulis,1200,61.55,2,151,0,1.030453,1.0272343529198897,BOR,12
Silene.acaulis,1550,61.55,2,273,1,0.999324,0.9965322584775198,BOR,12
Trillium.persistens,270,34.706944,2,21,1,0.983947,0.9818914810154684,TBM,4
Trillium.persistens,270,34.706944,5,19,2,1.048848,1.0481030410973322,TBM,4
Trillium.persistens,245,34.702778,2,2,0,0.968867,1,TBM,4
Trillium.persistens,398,34.708333,2,2,0,0.761734,1,TBM,4
Trillium.persistens,224,34.676944,2,2,0,0.863664,1,TBM,4
